title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Addicted to Love,,Lexy,Nervous Rave / Addicted To Love,,,DE,2006,,Lexy
Dancefloor,236000.0,Lexy,"Kontor: Top of the Clubs, Volume 45",,,DE,2009-11-27,,Lexy
Do You Like Disco,195333.0,Lexy,Music Is the Key: Love Parade 99,,,FR,1999,,Lexy
Do You Like Disco,,Lexy,Do You Like Disco,,,GB,1999,,Lexy
Do You Like Disco,270733.0,Lexy,Mayday: Soundtropolis,,,DE,1999-04-12,,Lexy
Do You Like Disco (Dr Rhythm Mix),,Lexy,Do You Like Disco,,,GB,1999,,Lexy
Do You Like Disco ?,,Lexy,Do You Like Disco ?,,,DE,1999,,Lexy
Don't Stop,349000.0,Lexy,Electric Lexy Land,,,DE,2000,,Lexy
Don't Stop,211000.0,Lexy,Cherry Moon 10 Years Anniversary,,,BE,2001,,Lexy
Dondi Bisco,345000.0,"Lexy, Shades of Gray",Neo.Pop 10,,,DE,2012-07-13,,Lexy
Electric Kingdom,376626.0,Lexy,ElectricKingdom: The TechnolectroPop Compilation,,,DE,1999-02-22,,Lexy
Electric Kingdom,196533.0,"Lexy, K-Paul",Dance Now! 2000/1,,,DE,2000,,Lexy
Electric Lexy Land,353000.0,Lexy,Electric Lexy Land,,,DE,2000,,Lexy
ElectricLexyLand,355133.0,Lexy,Datapop: Mayday Compilation,,,DE,2000-04-10,,Lexy
Help Me I'm Sexy,306000.0,Lexy,Help Me I'm Sexy,,,DE,2003-04-26,,Lexy
Hyp Ist Not,202000.0,"Lexy, Janés","Kontor: House of House, Volume 8",,,DE,2009-09-25,,Lexy
Hyp Ist Not,105000.0,"Lexy, Janés","Kontor: House of House, Volume 8",,,DE,2009-09-25,,Lexy
Hyp Ist Not (edit 1),325000.0,"Lexy, Janés",Kontor: House of House: Winter Edition 2010,,,DE,2009-09-25,,Lexy
Hypnotic Run,,Lexy,"Scream, When You Burn / Hypnotic Run",,,DE,2005-07-19,,Lexy
Katzenbüro,388000.0,Lexy,Komisch Elektronisch: The Mix Compilation,,,DE,2008-03-14,,Lexy
Katzenbüro,333000.0,Lexy,Underground Ibiza 2008,,,GB,2008-08-04,,Lexy
Killing Me,194600.0,"Lexy, K-Paul, Yasha",FG. Ibiza Fever Annual 2015-2016,,,FR,2015,,Lexy
Killing Me (Oliver Koletzki remix),239506.0,"Lexy, K-Paul, Yasha","Kontor: House of House, Volume 19",,,DE,2014-02-14,,Lexy
Killing Me (Oliver Koletzki remix),160373.0,"Lexy, K-Paul, Yasha","Kontor: House of House, Volume 19",,,DE,2014-02-14,,Lexy
"Komisch Elektronisch, Pt. 3 Mix by Lexy (Continuous DJ mix)",4800000.0,Lexy,"Komisch Elektronisch: The Mix Compilation, Part 3",,,DE,2014-05-30,,Lexy
Last Night Of The Glow Worms,,Lexy,SonneMondSterne X2,,,DE,2008-08-01,,Lexy
Le Dynamixx,373373.0,Lexy,Mayday: Save the Robots: The Compilation,,,DE,1998-04-06,,Lexy
My Ghetto Charge,309000.0,Lexy,Help Me I'm Sexy,,,DE,2003-04-26,,Lexy
Nervous Rave,,Lexy,Nervous Rave / Addicted To Love,,,DE,2006,,Lexy
New Day Dawning,265560.0,Lexy,Techhouse Vol. 1,,,DE,2009-04-24,,Lexy
New Day Dawning,366000.0,Lexy,SonneMondSterne X3,,,DE,2009-07-24,,Lexy
Rich (Chic Flowerz remix edit),200000.0,Lexy,The Sin Ibiza Pole Dance Selection,,,,2012-05-28,,Lexy
Scream When You Burn,388146.0,Lexy,Mayday Compilation 2005: Prototypes,,,DE,2005-04-18,,Lexy
"Scream, When You Burn",,Lexy,"Scream, When You Burn / Hypnotic Run",,,DE,2005-07-19,,Lexy
"Scream, When You Burn",311000.0,Lexy,U60311 Compilation,,,DE,2005-12-02,,Lexy
Shibuya Love,206000.0,"Lexy, Autotune",Future 80's,,,DE,2001,,Lexy
Shibuya Love,206000.0,"Lexy, Autotune",Mayday Polska (The Compilation 2001),,,XE,2001,,Lexy
Shibuya Love,209000.0,"Lexy, Autotune",Members Only #12,,,DE,2001-12-21,,Lexy
Shibuya Love (original),,"Lexy, Autotune",Shibuya Love,,,DE,2001,,Lexy
Shibuya Love (Paul Kalkbrenner remix),,"Lexy, Autotune",Shibuya Love,,,DE,2001,,Lexy
Shibuya Love (Rok remix),,"Lexy, Autotune",Shibuya Love,,,DE,2001,,Lexy
Shibuya Love (Tasaka remix),,"Lexy, Autotune",Shibuya Love,,,DE,2001,,Lexy
Shibuya Love (Tok Tok remix),,"Lexy, Autotune",Shibuya Love,,,DE,2001,,Lexy
Sometimes,412186.0,"Lexy, Narra, Dale",SonneMondSterne X4,,,DE,2010-07-30,,Lexy
The Greatest DJ (extended mix),163773.0,Lexy,Club System 14,,,BE,2000,,Lexy
The Return Of The Skakavac,255506.0,Lexy,Tales Of The Unexpected 4,,,GB,2009,,Lexy
Turn On Disco,,Lexy,Do You Like Disco,,,GB,1999,,Lexy
눈물씻고 화장하고,191000.0,Lexy,YG 10th Anniversary Special Album,,,KR,2006-07-31,,Lexy
