title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Badster,193000,HYO,Badster,,,KR,2019-07-20,,HYO
DEEP,179000,HYO,DEEP,,,KR,2022-05-16,,HYO
DESSERT,200000,"HYO, Loopy, JEON SOYEON",DESSERT,,,AF,2020-07-22,,HYO
Good to Be Alive,202000,"HYO, KEY, CHEN, JOHNNY, 宁宁, GINJO, Raiden, IMLAY, Mar Vista",2022 Winter SMTOWN : SMCU PALACE,,,KR,2022-12-26,,HYO
I Do What I Want,205906,"HYO, 이영지",GOOD GIRL FINAL,,,AF,2020-07-03,,HYO
Mystery,182000,HYO,Mystery,,,KR,2016-12-02,,HYO
Picture,198484,HYO,Picture,,,XW,2023-08-22,,HYO
Punk Right Now,178000,"HYO, 3LAU",Punk Right Now,,,XW,2018-11-13,,HYO
Second,218000,"HYO, BIBI",Second,,,XW,2021-08-09,,HYO
Sober,178000,"HYO, Ummet Ozcan",Sober,,,KR,2018-04-18,,HYO
Stupid,172000,HYO,DEEP,,,KR,2022-05-16,,HYO
TURL,194000,"HYO, CHEETAH",Good Girl (Episode 1),,,XW,2020-06-05,,HYO
Wannabe,183000,"HYO, San E",Wannabe,,,KR,2017-06-01,,HYO
